athlete,avg_hr,avg_power,category,classification_confidence,durability_index,duration_min,error,file,ftp_used,intensity_factor,max_power,normalized_power,np_drift_pct,parsed,parser_note,quality_score,subtype,tss
001_Athlete_01,142.1,256.7,HIIT,0.45,107.7,144.0,,001_activity_001.fit,301.1,0.955,399.0,287.7,3.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,219.1
001_Athlete_01,137.7,259.2,HIIT,0.45,,85.0,,001_activity_002.fit,301.1,0.967,396.0,291.2,0.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,132.5
001_Athlete_01,139.5,248.2,HIIT,0.45,92.7,143.0,,001_activity_003.fit,301.1,0.927,394.0,279.0,-7.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,204.7
001_Athlete_01,141.6,258.2,HIIT,0.45,103.4,121.0,,001_activity_004.fit,301.1,0.952,400.0,286.5,1.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,182.6
001_Athlete_01,139.3,243.6,HIIT,0.45,104.4,171.0,,001_activity_005.fit,301.1,0.923,400.0,277.8,0.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,242.7
001_Athlete_01,141.1,245.0,HIIT,0.45,,97.0,,001_activity_006.fit,301.1,0.922,397.0,277.7,1.5,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,137.5
001_Athlete_01,137.8,257.6,HIIT,0.45,109.6,122.0,,001_activity_007.fit,301.1,0.958,398.0,288.4,7.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,186.5
001_Athlete_01,140.8,243.6,HIIT,0.45,97.6,163.0,,001_activity_008.fit,301.1,0.928,400.0,279.6,-6.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,234.2
001_Athlete_01,139.2,256.0,HIIT,0.45,,45.0,,001_activity_009.fit,301.1,0.953,391.0,286.9,-10.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,68.1
001_Athlete_01,135.0,245.0,HIIT,0.45,,90.0,,001_activity_010.fit,301.1,0.913,390.0,274.9,0.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,125.1
001_Athlete_01,138.4,249.2,HIIT,0.45,,71.0,,001_activity_011.fit,301.1,0.934,394.0,281.1,3.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,103.1
001_Athlete_01,140.2,248.1,HIIT,0.45,99.2,149.0,,001_activity_012.fit,301.1,0.922,398.0,277.5,-2.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,210.9
001_Athlete_01,144.2,254.8,HIIT,0.45,,90.0,,001_activity_013.fit,301.1,0.968,399.0,291.3,-12.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,140.4
001_Athlete_01,141.6,258.7,HIIT,0.45,,108.0,,001_activity_014.fit,301.1,0.952,399.0,286.7,8.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,163.2
001_Athlete_01,139.6,239.3,HIIT,0.45,,67.0,,001_activity_015.fit,301.1,0.921,397.0,277.4,-10.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,94.8
001_Athlete_01,142.2,252.2,HIIT,0.45,111.4,160.0,,001_activity_016.fit,301.1,0.949,400.0,285.9,7.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,240.4
001_Athlete_01,142.1,261.4,STEADY,0.5,,56.0,,001_activity_017.fit,301.1,0.95,398.0,286.0,-2.4,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,threshold_continuous,84.2
001_Athlete_01,143.2,247.5,HIIT,0.45,,56.0,,001_activity_018.fit,301.1,0.933,398.0,280.8,-6.1,True,"synthetic_binary_parser(offset=73, stride=15)",0.94,hiit_unspecified,81.2
001_Athlete_01,142.3,240.7,HIIT,0.45,93.4,178.0,,001_activity_019.fit,301.1,0.91,397.0,274.0,-2.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,245.8
001_Athlete_01,143.3,249.5,HIIT,0.45,,96.0,,001_activity_020.fit,301.1,0.953,399.0,287.0,3.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,145.3
001_Athlete_01,139.4,257.1,HIIT,0.45,,99.0,,001_activity_021.fit,301.1,0.972,399.0,292.7,3.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,156.0
001_Athlete_01,142.7,252.9,HIIT,0.45,,79.0,,001_activity_022.fit,301.1,0.949,400.0,285.9,-3.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,118.7
001_Athlete_01,139.5,247.0,HIIT,0.45,113.8,151.0,,001_activity_023.fit,301.1,0.92,400.0,277.1,9.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,213.2
001_Athlete_01,140.7,253.1,HIIT,0.45,,114.0,,001_activity_024.fit,301.1,0.931,398.0,280.4,-1.7,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,164.8
001_Athlete_01,137.3,249.7,HIIT,0.45,,77.0,,001_activity_025.fit,301.1,0.919,400.0,276.7,7.8,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,108.4
001_Athlete_01,140.2,253.2,HIIT,0.45,98.4,148.0,,001_activity_026.fit,301.1,0.949,399.0,285.7,-0.3,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,222.1
001_Athlete_01,143.7,230.1,HIIT,0.45,,68.0,,001_activity_027.fit,301.1,0.877,400.0,264.0,-9.0,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,87.1
001_Athlete_01,137.8,259.0,HIIT,0.45,,108.0,,001_activity_028.fit,301.1,0.956,399.0,287.9,-4.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,164.5
001_Athlete_01,134.8,244.4,HIIT,0.45,,69.0,,001_activity_029.fit,301.1,0.922,391.0,277.6,9.6,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,97.7
001_Athlete_01,138.5,260.3,HIIT,0.45,,112.0,,001_activity_030.fit,301.1,0.976,397.0,293.7,-7.2,True,"synthetic_binary_parser(offset=73, stride=15)",0.88,hiit_unspecified,177.6
