athlete,avg_hr,avg_power,backend_status,category,classification_confidence,duration_min,file,has_hr,has_power,has_rr,intensity_factor,normalized_power,profile_curve_updated,quality_score,subtype,tss
ADRIAN,140.5,185.0,success,HIIT,0.45,166.9,tp-4641974.2026-02-22-11-24-17-122Z.GarminPing.AAAAAGma52Bxl-dF.FIT,True,True,False,0.825,221.5,True,0.94,hiit_unspecified,189.4
ADRIAN,118.5,160.2,success,FREE,0.45,149.2,tp-4641974.2026-02-27-12-50-37-888Z.GarminPing.AAAAAGmhkx3GhTMJ.FIT,True,True,False,0.789,211.8,True,0.7,race,154.7
ADRIAN,149.2,171.0,success,FREE,0.45,406.8,tp-4641974.2026-03-28-16-20-53-202Z.GarminPing.AAAAAGnH_-RuMOnI.FIT,True,True,False,0.809,217.1,True,0.82,race,443.3
ADRIAN,155.3,209.5,success,HIIT,0.45,276.5,tp-4641974.2026-04-12-12-44-36-985Z.GarminPing.AAAAAGnbk7RSKoJo.FIT,True,True,False,0.901,241.9,True,0.94,hiit_unspecified,374.0
ADRIAN,65.8,72.9,success,FREE,0.45,3509.5,tp-4641974.2026-04-19-17-13-04-106Z.GarminPing.AAAAAGnlDR_f38oY.FIT,True,True,False,0.527,141.6,True,0.49,race,1626.9
ADRIAN,169.3,249.7,success,STEADY,0.5,77.0,zwift-activity-2050355589627772928.fit,True,True,False,0.981,263.5,True,1.0,threshold_continuous,123.5
ADRIAN,167.1,258.9,success,STEADY,0.5,64.6,zwift-activity-2055432007558627360.fit,True,True,False,1.022,274.4,True,1.0,threshold_continuous,112.4
ADRIAN,169.2,260.9,success,STEADY,0.5,65.0,zwift-activity-2060501901014728752.fit,True,True,False,1.01,271.3,True,1.0,threshold_continuous,110.6
ADRIAN,164.1,250.7,success,STEADY,0.5,55.3,zwift-activity-2070515627725946912.fit,True,True,False,1.006,270.2,True,1.0,threshold_continuous,93.3
ADRIAN,112.6,149.0,success,TEST,0.55,92.2,zwift-activity-2075446336542507008.fit,True,True,False,0.814,218.5,True,0.88,sprint_set,101.8
ADRIAN,138.9,202.2,success,UNCLASSIFIED,0.3,120.8,zwift-activity-2106571296509820944.fit,True,True,False,0.851,228.4,True,1.0,unknown,145.6
Adriano,106.5,,success,STEADY,0.55,67.8,Karoo-Afternoon_Ride-2025-10-08-1222.fit,True,False,False,,,False,0.73,endurance_z2,
Adriano,118.2,,success,STEADY,0.55,137.7,Karoo-Afternoon_Ride-2025-11-01-1509.fit,True,False,False,,,False,0.73,endurance_z2,
Adriano,,148.3,success,FREE,0.45,109.1,Karoo-Afternoon_Ride-2025-11-12-1216.fit,False,True,False,0.899,193.1,True,0.82,race,147.0
Adriano,123.7,,success,STEADY,0.55,99.4,Karoo-Afternoon_Ride-2025-11-19-1214.fit,True,False,False,,,False,0.73,endurance_z2,
